Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI
2015-01-01,164.32,45.02,65.44,89.31,20.15,140.07,72.7,2.67,159.28,13.77,88.83,212.24,30.545,40.94,133.3412,62.96,59.76,60.13,88.74,185.03,55.91,55.46,257.41,286.05,33.21,70.25,530.7,524.9590000000001,49.27,310.35,46.13,53.63,60.72,93.04,56.01,98.85,53.3,132.25,90.16,52.63,159.29,53.81,82.5,55.52
2015-01-02,164.06,44.9,65.89,88.84,20.13,139.88,72.34,2.69,158.56,13.7,88.8,210.43,30.54,40.56,134.4506,63.25,60.33,60.31,89.79,186.6,56.2,55.05,259.13,285.37,33.25,70.12,529.6,523.3733,48.97,308.52,45.99,53.91,61.15,93.02,56.11,99.67,53.94,132.09,90.46,52.62,159.89,53.64,82.29,55.54
2015-01-05,160.36,44.91,64.65,87.34,19.85,136.52,71.98,2.66,156.47,13.31,87.6,202.8,29.74,39.8,130.1517,61.94,59.47,58.31,90.87,182.17,56.99,54.94,256.69,281.4,32.845,68.73,519.5,512.4633,48.69,302.19,45.53,53.875,60.25,90.56,55.0,98.23,53.11,127.85,89.69,51.04,157.99,52.66,75.8,54.525
2015-01-06,158.65,44.4,64.33,86.71,19.48,134.81,70.53,2.63,156.36,13.01,87.73,198.43,29.475,39.18,130.1055,60.67,58.77,57.17,91.33,177.95,57.45,54.85,255.17,277.82,32.74,68.68,506.6,500.5859,48.98,295.29,45.0,53.04,60.58,88.63,54.22,97.97,53.25,124.41,90.18,50.06,152.9,51.99,75.24,53.25
2015-01-07,159.8,44.76,66.93,88.53,19.055,137.2,71.11,2.58,159.72,13.03,89.49,203.3,29.66,39.7,131.5107,60.16,59.67,56.94,92.57,187.93,59.57,55.6,265.23,279.95,33.28,69.81,505.2,499.7282,49.88,298.42,45.35,53.01,61.44,90.3,54.48,99.0,53.93,126.62,91.98,50.21,158.24,52.88,76.44,53.81
2015-01-08,163.63,45.68,67.63,89.88,19.25,142.0,72.915,2.61,161.12,13.23,92.39,205.37,29.95,40.89,134.5523,61.57,60.7,58.73,93.63,183.8,61.44,56.35,268.96,287.93,33.805,71.15,506.9,501.3039,50.72,300.46,45.51,53.66,61.97,91.58,54.24,99.92,54.14,128.87,92.19,51.45,157.67,53.91,78.91,54.76
2015-01-09,161.62,45.2,65.78,89.78,18.9,151.5,71.84,2.63,160.3,12.9,91.04,205.34,29.315,40.59,132.5369,60.78,59.73,59.02,93.36,184.27,62.58,55.88,268.68,290.75,33.325,70.42,500.7,494.8117,50.6,296.93,45.0,52.02,61.64,90.42,53.32,99.41,54.3,127.68,93.0,50.99,155.73,53.6,79.14,54.72
2015-01-12,160.74,45.58,65.76,89.51,18.86,153.09,71.12,2.63,158.93,12.88,89.52,201.59,29.145,40.11,131.6216,60.75,60.61,59.7,93.97,183.36,63.17,54.99,272.28,291.36,33.235,69.7,497.1,491.2016,50.92,291.41,44.82,49.58,61.56,89.5,52.36,98.98,54.13,126.38,90.93,49.72,156.22,52.95,75.05,54.17
2015-01-13,160.62,44.61,63.39,89.83,18.56,152.96,70.59,2.66,153.76,13.02,90.33,201.17,29.0,39.55,130.9283,60.79,61.41,60.99,94.28,179.21,62.65,55.1,269.9,287.55,33.465,70.12,501.8,494.8217,51.32,294.74,45.21,50.4,61.87,89.23,51.87,97.88,54.25,127.3,91.64,49.72,155.14,52.83,75.8,53.55
2015-01-14,159.84,44.28,63.7,88.78,18.93,150.87,69.99,2.63,150.83,13.14,89.89,198.04,28.775,39.06,129.3659,59.71,61.54,59.52,94.84,175.4,61.06,55.33,266.42,281.37,34.08,69.43,505.9,499.4989,51.73,293.27,45.63,49.41,62.76,87.07,51.38,97.26,55.21,124.97,92.1,49.1,155.16,52.45,77.35,53.51
2015-01-15,159.66,43.95,62.89,88.17,18.55,148.87,70.29,2.52,148.02,13.1,90.5,194.37,28.68,38.01,128.9313,58.63,61.47,58.08,95.25,172.87,59.63,53.8,263.75,279.65,34.16,69.23,504.0,500.4163,52.47,286.95,46.05,49.41,63.16,85.88,50.4,96.28,55.25,122.86,91.4,48.33,151.92,51.93,75.48,52.73
2015-01-16,162.0,44.49,64.54,88.89,20.25,150.64,71.73,2.39,150.0,13.37,92.56,195.39,29.09,38.25,129.1625,59.22,62.35,58.52,96.7,180.44,56.92,53.37,268.66,289.55,34.8,70.84,510.5,506.6891,53.05,290.74,46.54,49.81,63.57,86.04,51.11,97.42,55.71,124.66,92.42,48.56,158.43,52.42,78.45,53.69
2015-01-19,162.0,44.49,64.54,88.89,20.25,150.64,71.73,2.39,150.0,13.37,92.56,195.39,29.09,38.25,129.1625,59.22,62.35,58.52,96.7,180.44,56.92,53.37,268.66,289.55,34.8,70.84,510.5,506.6891,53.05,290.74,46.54,49.81,63.57,86.04,51.11,97.42,55.71,124.66,92.42,48.56,158.43,52.42,78.45,53.69
