Symbol,Date,Close,High,Low,Open,Volume
A,2015-01-01,40.94,40.94,40.94,40.94,0
A,2015-01-02,40.56,41.31,40.37,41.18,1530798
A,2015-01-05,39.8,40.46,39.7,40.32,2042240
A,2015-01-06,39.18,40.02,39.02,39.81,2084562
A,2015-01-07,39.7,39.81,39.29,39.52,3359660
A,2015-01-08,40.89,40.98,40.18,40.24,2116341
A,2015-01-09,40.59,41.0,40.29,41.0,1644939
A,2015-01-12,40.11,40.72,39.95,40.61,2771191
A,2015-01-13,39.55,40.7,39.33,40.47,2013474
A,2015-01-14,39.06,39.1,38.21,39.03,5134006
A,2015-01-15,38.01,39.408,37.99,39.33,2630296
A,2015-01-16,38.25,38.46,37.76,37.83,3003980
A,2015-01-19,38.25,38.25,38.25,38.25,0
A,2015-01-20,37.93,38.66,37.76,38.43,5033605
A,2015-01-21,38.16,38.41,37.68,37.75,2721609
A,2015-01-22,39.65,39.86,38.12,38.51,4856573
A,2015-01-23,38.81,39.6,38.76,39.6,1519250
A,2015-01-26,39.15,39.17,38.47,38.79,1511214
A,2015-01-27,38.75,39.25,38.58,38.7,1703508
A,2015-01-28,38.0,39.05,37.96,39.01,2033523
A,2015-01-29,38.46,38.47,37.69,38.0,2329983
A,2015-01-30,37.77,38.32,37.71,38.01,3054313
A,2015-02-02,38.69,38.76,37.71,37.9,2508493
A,2015-02-03,39.62,39.63,38.92,39.04,2950375
A,2015-02-04,39.11,39.46,38.82,39.33,2567439
A,2015-02-05,39.53,39.82,39.22,39.22,1826367
A,2015-02-06,39.34,39.81,39.225,39.54,2697212
A,2015-02-09,39.04,39.43,38.95,39.23,3586102
A,2015-02-10,39.67,39.76,38.78,39.31,1408747
A,2015-02-11,39.33,39.81,39.2326,39.64,3337005
A,2015-02-12,40.02,40.06,39.53,39.58,1317705
A,2015-02-13,40.15,40.31,39.91,39.97,2211931
A,2015-02-16,40.15,40.15,40.15,40.15,0
A,2015-02-17,40.52,40.53,39.76,40.01,2875788
A,2015-02-18,41.54,42.2,40.91,41.12,9007218
A,2015-02-19,41.15,41.57,41.04,41.4,3737331
A,2015-02-20,41.95,42.11,40.88,41.09,2971880
A,2015-02-23,41.73,41.96,41.49,41.89,1967913
A,2015-02-24,42.06,42.105,41.6,41.62,1922102
A,2015-02-25,42.2,42.49,42.09,42.34,2343479
A,2015-02-26,42.36,42.38,42.0,42.23,1505418
A,2015-02-27,42.21,42.36,42.045,42.3,1676351
A,2015-03-02,42.7,42.74,42.34,42.34,1847082
A,2015-03-03,42.26,42.57,42.14,42.45,1635437
A,2015-03-04,42.0,42.16,41.73,41.95,1305992
A,2015-03-05,42.22,42.24,41.84,41.99,1376468
A,2015-03-06,41.53,42.05,41.49,41.95,1528564
A,2015-03-09,41.74,41.89,41.435,41.54,1492378
A,2015-03-10,40.63,41.27,40.63,41.22,1961299
A,2015-03-11,40.85,41.125,40.67,40.79,2064355
A,2015-03-12,41.1,41.24,40.97,40.99,2719895
A,2015-03-13,40.87,41.4562,40.515,40.96,4704560
A,2015-03-16,41.81,41.83,41.11,41.16,2551437
A,2015-03-17,41.58,41.69,41.06,41.52,1504881
A,2015-03-18,42.12,42.38,41.17,41.45,1295556
A,2015-03-19,42.21,42.25,41.82,42.05,1085684
A,2015-03-20,42.21,42.53,42.2,42.39,2315332
A,2015-03-23,42.2,42.44,42.0,42.12,1835393
A,2015-03-24,41.09,42.13,41.01,42.13,3625952
A,2015-03-25,40.81,41.695,40.79,41.17,2776181
A,2015-03-26,40.7,40.97,40.3703,40.68,1573740
A,2015-03-27,41.11,41.18,40.58,40.6,1932749
A,2015-03-30,41.72,41.86,41.32,41.59,2064181
A,2015-03-31,41.55,41.78,41.102,41.28,1659169
A,2015-04-01,41.39,41.52,40.72,41.46,2170331
A,2015-04-02,42.05,42.13,41.33,41.47,2135918
A,2015-04-03,42.05,42.05,42.05,42.05,0
A,2015-04-06,41.93,42.2,41.51,41.68,2379808
A,2015-04-07,42.44,42.52,41.87,41.94,3072418
