Symbol,Date,Close,High,Low,Open,Volume
AAL,2015-01-01,53.63,53.63,53.63,53.63,0
AAL,2015-01-02,53.91,54.6,53.07,54.28,10756705
AAL,2015-01-05,53.875,54.54,53.34,54.37,11565004
AAL,2015-01-06,53.04,54.43,52.13,54.3,13772171
AAL,2015-01-07,53.01,53.65,52.12,53.39,10069816
AAL,2015-01-08,53.66,54.28,53.25,53.48,9672064
AAL,2015-01-09,52.02,53.91,51.82,53.67,12351638
AAL,2015-01-12,49.58,51.45,49.2,51.05,18261336
AAL,2015-01-13,50.4,51.43,49.46,50.12,12259271
AAL,2015-01-14,49.41,50.23,48.1,49.41,15684697
AAL,2015-01-15,49.41,50.4,48.58,49.135,10399684
AAL,2015-01-16,49.81,49.97,48.27,49.4,12978011
AAL,2015-01-19,49.81,49.81,49.81,49.81,0
AAL,2015-01-20,52.75,52.83,49.9345,50.99,15157342
AAL,2015-01-21,53.67,54.0,51.95,52.65,12882227
AAL,2015-01-22,55.59,55.82,53.91,54.5,16201053
AAL,2015-01-23,55.69,55.98,54.8,55.4,9488822
AAL,2015-01-26,55.45,56.2,54.73,55.89,13353937
AAL,2015-01-27,52.695,54.52,52.54,53.99,19810717
AAL,2015-01-28,50.62,53.699,50.3,52.86,17064794
AAL,2015-01-29,52.24,52.42,50.57,51.045,16618856
AAL,2015-01-30,49.08,52.13,48.63,52.0,18473105
AAL,2015-02-02,48.72,48.93,46.21,48.58,22413054
AAL,2015-02-03,47.5,48.16,46.55,47.3,16678899
AAL,2015-02-04,49.46,49.79,48.23,48.62,11836762
AAL,2015-02-05,48.81,49.46,47.6,49.46,9220865
AAL,2015-02-06,48.145,49.47,47.89,48.81,8650092
AAL,2015-02-09,46.53,47.235,45.95,46.41,12961897
AAL,2015-02-10,48.05,48.375,46.9,47.4,9085330
AAL,2015-02-11,47.59,48.95,47.35,48.79,10060185
AAL,2015-02-12,47.88,48.5,46.4,46.75,9542801
AAL,2015-02-13,48.39,48.4,46.65,47.45,9895724
AAL,2015-02-16,48.39,48.39,48.39,48.39,0
AAL,2015-02-17,48.01,49.449,47.86,49.145,7260535
AAL,2015-02-18,49.31,49.45,48.184,48.57,8752743
AAL,2015-02-19,49.78,50.8,49.59,50.78,11462822
AAL,2015-02-20,51.02,51.12,49.13,49.81,10537876
AAL,2015-02-23,51.31,52.2,50.95,51.79,9508679
AAL,2015-02-24,51.52,51.555,49.36,50.29,13916738
AAL,2015-02-25,49.73,51.49,49.46,51.3,9577025
AAL,2015-02-26,49.35,50.38,49.02,50.27,7577294
AAL,2015-02-27,47.9,49.4,47.85,49.0,9396398
AAL,2015-03-02,48.31,48.57,47.85,48.19,11482901
AAL,2015-03-03,48.77,49.03,47.75,47.85,9051248
AAL,2015-03-04,48.95,48.96,47.98,48.8,6711005
AAL,2015-03-05,48.395,49.2,47.78,49.09,7041012
AAL,2015-03-06,47.995,48.94,47.9,48.33,7002303
AAL,2015-03-09,47.92,48.58,47.58,48.1,7460205
AAL,2015-03-10,46.735,47.58,46.47,47.5,9337145
AAL,2015-03-11,47.39,47.89,46.58,46.9,6630302
AAL,2015-03-12,48.68,48.72,47.56,47.57,7133511
AAL,2015-03-13,49.22,49.49,48.28,48.78,9187991
AAL,2015-03-16,50.22,50.45,49.45,49.77,10897774
AAL,2015-03-17,53.69,54.18,52.5,52.63,41837891
AAL,2015-03-18,54.13,54.6,53.34,53.69,21324978
AAL,2015-03-19,55.19,55.24,54.45,54.57,18897709
AAL,2015-03-20,55.76,56.05,54.86,55.19,137767165
AAL,2015-03-23,54.395,55.93,54.37,55.47,19042013
AAL,2015-03-24,53.93,54.41,53.66,54.04,11940800
AAL,2015-03-25,52.01,53.78,51.93,53.64,14237851
AAL,2015-03-26,51.265,51.685,50.25,50.85,14242731
AAL,2015-03-27,52.66,52.85,51.38,51.39,9003971
AAL,2015-03-30,53.64,53.84,53.05,53.24,8167282
AAL,2015-03-31,52.78,53.73,52.68,53.67,8386414
AAL,2015-04-01,50.44,51.38,50.11,51.1,15191509
AAL,2015-04-02,49.175,50.85,49.15,50.52,14109775
AAL,2015-04-03,49.175,49.175,49.175,49.175,0
AAL,2015-04-06,48.08,48.69,47.67,48.35,13323351
AAL,2015-04-07,47.495,48.8,47.49,48.3,9393200
AAL,2015-04-08,48.74,49.0865,47.73,47.8,11180048
AAL,2015-04-09,47.84,49.48,47.72,48.86,11576174
AAL,2015-04-10,47.73,48.79,47.72,48.16,11713378
AAL,2015-04-13,47.79,48.59,47.47,47.49,9350279
AAL,2015-04-14,47.42,47.78,46.88,47.49,9878409
AAL,2015-04-15,47.75,48.72,47.67,48.0,9846675
AAL,2015-04-16,48.24,48.91,47.75,47.81,7155874
AAL,2015-04-17,48.19,48.65,47.9451,48.05,8659765
AAL,2015-04-20,49.76,49.78,47.91,48.64,9523520
AAL,2015-04-21,51.36,51.42,49.46,50.0,10850327
AAL,2015-04-22,51.4,51.54,50.4,51.44,7333255
AAL,2015-04-23,51.45,51.72,50.7007,51.08,9821775
AAL,2015-04-24,52.705,53.47,51.49,51.95,20248074
AAL,2015-04-27,51.87,52.68,51.695,52.66,9843392
AAL,2015-04-28,51.19,51.82,50.01,51.7,9235688
AAL,2015-04-29,48.88,50.8,47.66,50.55,18050280
AAL,2015-04-30,48.285,49.46,48.01,48.51,9400367
AAL,2015-05-01,49.39,49.83,48.51,48.65,8084568
AAL,2015-05-04,48.95,50.08,48.8,49.45,5589831
AAL,2015-05-05,47.005,48.71,46.9,48.2,11384951
AAL,2015-05-06,47.045,47.64,46.15,46.78,10116405
AAL,2015-05-07,49.06,49.62,47.4,47.44,11427992
AAL,2015-05-08,49.04,49.83,48.93,49.21,6478195
AAL,2015-05-11,49.645,50.3,48.8,48.94,8036689
AAL,2015-05-12,48.85,49.4,48.63,49.16,6820544
