Symbol,Date,Close,High,Low,Open,Volume
AAP,2015-01-01,159.28,159.28,159.28,159.28,0
AAP,2015-01-02,158.56,162.5,157.47,160.85,509982
AAP,2015-01-05,156.47,158.9875,155.9,158.17,803635
AAP,2015-01-06,156.36,157.29,153.9,156.56,872305
AAP,2015-01-07,159.72,160.61,157.06,157.61,1326774
AAP,2015-01-08,161.12,163.46,161.0,163.36,1025714
AAP,2015-01-09,160.3,161.62,158.39,159.95,912289
AAP,2015-01-12,158.93,160.41,158.22,160.13,756863
AAP,2015-01-13,153.76,160.72,152.3312,159.62,824658
AAP,2015-01-14,150.83,153.16,149.38,151.9,719438
AAP,2015-01-15,148.02,151.86,147.83,151.17,926449
AAP,2015-01-16,150.0,150.2,147.2001,148.0,776897
AAP,2015-01-19,150.0,150.0,150.0,150.0,0
AAP,2015-01-20,152.66,152.75,148.45,150.04,941819
AAP,2015-01-21,153.35,154.085,152.07,152.49,711194
AAP,2015-01-22,156.54,157.62,153.9,154.4,738829
AAP,2015-01-23,155.78,158.05,154.64,156.99,685651
AAP,2015-01-26,159.23,159.25,155.75,155.75,615311
AAP,2015-01-27,159.03,159.525,156.87,158.09,541099
AAP,2015-01-28,159.3,161.13,158.52,159.49,1149815
AAP,2015-01-29,160.26,160.98,157.58,159.69,561313
AAP,2015-01-30,159.0,160.98,157.4,159.56,830486
AAP,2015-02-02,155.97,159.47,153.29,159.0,820098
AAP,2015-02-03,157.07,157.35,154.47,157.21,572597
AAP,2015-02-04,156.47,157.27,154.52,156.76,744977
AAP,2015-02-05,160.16,160.66,156.79,157.74,1294215
AAP,2015-02-06,162.0,162.43,160.22,160.4,863801
AAP,2015-02-09,160.74,161.76,159.07,161.62,1064157
AAP,2015-02-10,162.9,163.23,160.79,160.82,684595
AAP,2015-02-11,162.39,164.9997,161.54,163.5,1206950
AAP,2015-02-12,151.42,157.075,150.95,155.0,4046068
AAP,2015-02-13,150.16,151.83,149.2,151.02,2117562
AAP,2015-02-16,150.16,150.16,150.16,150.16,0
AAP,2015-02-17,150.23,151.38,148.86,149.91,1564383
AAP,2015-02-18,153.22,153.6,148.5,149.65,1789198
AAP,2015-02-19,153.27,154.948,152.46,153.18,1149733
AAP,2015-02-20,155.06,155.14,151.82,152.64,928910
AAP,2015-02-23,157.18,157.21,154.71,155.59,853683
AAP,2015-02-24,156.4,157.7,155.3,157.35,643245
AAP,2015-02-25,156.25,156.57,155.5,156.5,397548
AAP,2015-02-26,155.38,156.7099,155.225,156.25,493216
AAP,2015-02-27,154.93,156.24,154.63,155.74,718451
AAP,2015-03-02,154.77,155.41,153.93,154.71,909090
AAP,2015-03-03,154.47,156.6,153.5,155.39,718061
AAP,2015-03-04,150.83,153.97,150.44,153.97,869807
AAP,2015-03-05,152.52,153.23,150.93,151.82,753245
AAP,2015-03-06,149.07,152.96,148.47,151.71,1711064
AAP,2015-03-09,148.29,149.51,147.75,149.0,839309
AAP,2015-03-10,146.53,147.65,145.1,146.8,1291542
AAP,2015-03-11,147.33,147.72,145.61,146.97,703890
AAP,2015-03-12,149.32,150.23,146.88,146.88,778450
AAP,2015-03-13,149.61,150.4,146.58,149.2,674582
AAP,2015-03-16,151.12,151.23,149.49,149.96,679887
AAP,2015-03-17,150.0,151.69,149.83,151.02,531896
AAP,2015-03-18,149.03,149.71,147.01,149.56,715551
AAP,2015-03-19,149.19,149.42,147.42,149.06,912481
AAP,2015-03-20,151.91,152.29,148.48,149.4,1563045
AAP,2015-03-23,149.51,152.22,149.49,151.06,1037234
AAP,2015-03-24,151.01,151.91,148.15,148.9,688538
AAP,2015-03-25,148.73,152.18,148.62,150.87,715091
AAP,2015-03-26,149.41,150.33,146.7,147.63,828273
AAP,2015-03-27,151.39,152.13,149.35,149.67,858800
AAP,2015-03-30,152.08,153.27,151.2,152.24,608165
AAP,2015-03-31,149.69,152.57,149.48,151.8,887737
AAP,2015-04-01,143.75,148.845,143.45,147.78,2423428
AAP,2015-04-02,143.98,145.645,143.02,143.95,1529960
AAP,2015-04-03,143.98,143.98,143.98,143.98,0
AAP,2015-04-06,145.73,147.26,143.34,143.77,1150930
AAP,2015-04-07,146.71,147.1,145.79,146.05,796969
AAP,2015-04-08,148.81,148.84,146.36,146.96,770690
AAP,2015-04-09,148.05,149.23,146.99,148.31,646873
AAP,2015-04-10,150.2,150.53,147.57,148.67,587907
AAP,2015-04-13,149.18,150.75,148.92,149.97,376552
AAP,2015-04-14,149.05,150.19,147.63,148.77,731664
AAP,2015-04-15,149.58,150.401,148.56,149.45,578292
AAP,2015-04-16,150.0,151.31,148.32,149.13,716681
AAP,2015-04-17,149.8,149.8,147.93,149.01,795672
AAP,2015-04-20,152.4,152.53,149.83,149.83,890133
AAP,2015-04-21,152.4,154.66,152.18,153.28,898830
AAP,2015-04-22,151.51,152.61,150.5,152.23,1189374
AAP,2015-04-23,146.69,153.98,146.54,153.65,1865051
AAP,2015-04-24,148.61,148.74,143.2,144.82,1441627
AAP,2015-04-27,144.99,148.99,144.54,148.99,905724
AAP,2015-04-28,144.5,145.23,143.0,145.0,795335
AAP,2015-04-29,144.66,145.18,143.51,144.5,707881
AAP,2015-04-30,143.0,145.21,142.9,144.43,1269152
AAP,2015-05-01,145.34,145.46,142.63,143.09,596335
AAP,2015-05-04,145.45,146.15,144.95,145.25,675943
AAP,2015-05-05,143.99,145.73,143.42,145.45,680113
AAP,2015-05-06,144.09,144.84,143.0,144.32,591724
AAP,2015-05-07,144.53,145.84,143.89,144.39,782529
AAP,2015-05-08,144.76,147.0,144.37,145.46,579694
AAP,2015-05-11,145.51,146.45,144.1,144.98,348213
AAP,2015-05-12,147.13,147.17,144.1,144.74,807362
AAP,2015-05-13,149.38,149.49,146.63,147.0,1285864
AAP,2015-05-14,149.86,151.215,148.75,150.0,979890
AAP,2015-05-15,151.62,151.84,149.52,149.57,840057
AAP,2015-05-18,151.88,153.125,150.85,150.99,2099333
AAP,2015-05-19,152.94,154.84,151.98,152.65,1096306
AAP,2015-05-20,149.9,153.97,149.9,152.76,1581892
AAP,2015-05-21,157.5,160.9,143.0,144.19,4243634
AAP,2015-05-22,160.2,161.55,156.73,157.42,2200971
AAP,2015-05-25,160.2,160.2,160.2,160.2,0
AAP,2015-05-26,158.0,160.82,157.44,160.07,1120856
AAP,2015-05-27,157.22,158.8,156.51,158.29,870790
AAP,2015-05-28,156.35,158.05,155.63,157.25,643706
AAP,2015-05-29,153.22,155.69,153.19,155.31,1032745
AAP,2015-06-01,153.32,154.89,152.71,154.28,764135
AAP,2015-06-02,155.36,155.42,152.2,153.26,976665
AAP,2015-06-03,156.53,156.83,154.8101,155.72,997998
AAP,2015-06-04,156.6,157.1,155.545,155.73,579850
AAP,2015-06-05,157.39,157.86,156.03,156.27,672610
AAP,2015-06-08,157.31,157.85,156.59,157.25,924514
AAP,2015-06-09,157.42,158.54,156.245,156.4,1012156
AAP,2015-06-10,160.27,160.65,157.54,158.55,1170105
AAP,2015-06-11,160.53,161.08,159.68,160.31,462429
AAP,2015-06-12,161.21,161.65,159.98,160.29,438503
AAP,2015-06-15,158.32,160.68,158.12,160.12,600812
AAP,2015-06-16,159.05,159.59,157.87,158.41,524097
AAP,2015-06-17,158.99,160.67,157.65,159.12,738562
