Symbol,Date,Close,High,Low,Open,Volume
AES,2015-01-01,13.77,13.77,13.77,13.77,0
AES,2015-01-02,13.7,13.87,13.51,13.86,5228725
AES,2015-01-05,13.31,13.7,13.24,13.67,5411368
AES,2015-01-06,13.01,13.46,12.945,13.31,7171225
AES,2015-01-07,13.03,13.13,12.925,13.11,4931998
AES,2015-01-08,13.23,13.37,13.09,13.15,6674350
AES,2015-01-09,12.9,13.3,12.87,13.26,5302361
AES,2015-01-12,12.88,12.95,12.545,12.87,9184037
AES,2015-01-13,13.02,13.18,12.895,12.97,6227808
AES,2015-01-14,13.14,13.165,12.82,12.92,4677008
AES,2015-01-15,13.1,13.375,13.08,13.15,7513496
AES,2015-01-16,13.37,13.39,13.13,13.14,6423020
AES,2015-01-19,13.37,13.37,13.37,13.37,0
AES,2015-01-20,13.09,13.49,12.93,13.44,6672475
AES,2015-01-21,13.2,13.22,12.89,12.97,5309528
AES,2015-01-22,12.92,13.31,12.835,13.26,4864679
AES,2015-01-23,12.68,13.01,12.68,12.93,7665974
AES,2015-01-26,12.73,12.73,12.48,12.67,4682239
AES,2015-01-27,12.73,12.79,12.55,12.64,3538460
AES,2015-01-28,12.32,12.82,12.3,12.74,5554403
AES,2015-01-29,12.44,12.48,12.23,12.28,5447146
AES,2015-01-30,12.22,12.44,12.17,12.22,6475030
AES,2015-02-02,12.36,12.37,12.18,12.24,5404963
AES,2015-02-03,12.48,12.72,12.35,12.35,8190068
AES,2015-02-04,12.52,12.69,12.39,12.41,5828283
AES,2015-02-05,12.67,12.7,12.51,12.58,3304993
AES,2015-02-06,12.07,12.65,12.02,12.6,7097745
AES,2015-02-09,11.85,12.16,11.8,12.05,7783493
AES,2015-02-10,12.16,12.2,11.53,11.74,11225954
AES,2015-02-11,11.93,12.1,11.81,12.05,9966547
AES,2015-02-12,11.86,12.04,11.83,12.0,4403059
AES,2015-02-13,11.86,12.04,11.73,11.84,4336572
AES,2015-02-16,11.86,11.86,11.86,11.86,0
AES,2015-02-17,11.64,11.85,11.54,11.85,5690292
AES,2015-02-18,11.83,11.89,11.58,11.63,5922615
AES,2015-02-19,11.85,11.97,11.765,11.79,4350576
AES,2015-02-20,11.89,11.9,11.64,11.86,5632356
AES,2015-02-23,11.92,11.965,11.77,11.9,3463702
AES,2015-02-24,12.12,12.15,11.85,11.87,6941696
AES,2015-02-25,12.0,12.17,11.87,12.11,9024433
AES,2015-02-26,12.63,12.74,12.12,12.12,11809360
AES,2015-02-27,12.97,13.01,12.57,12.68,13541891
AES,2015-03-02,12.65,12.91,12.55,12.91,8968977
AES,2015-03-03,13.0,13.02,12.65,12.65,9570237
AES,2015-03-04,12.75,12.995,12.71,12.92,7084452
AES,2015-03-05,12.7,12.83,12.6699,12.78,6011040
AES,2015-03-06,12.23,12.68,12.19,12.52,7885765
AES,2015-03-09,12.19,12.32,12.12,12.26,7395547
AES,2015-03-10,12.12,12.22,12.08,12.12,10515375
AES,2015-03-11,12.05,12.17,11.96,12.11,7554515
AES,2015-03-12,12.1,12.14,12.01,12.09,6946762
AES,2015-03-13,11.92,12.05,11.83,12.04,7016805
AES,2015-03-16,12.01,12.1258,11.96,12.0,5400729
AES,2015-03-17,12.19,12.23,11.99,12.0,5414884
AES,2015-03-18,12.64,12.71,12.15,12.23,6142990
AES,2015-03-19,12.52,12.72,12.47,12.62,4109687
AES,2015-03-20,12.84,12.84,12.49,12.54,9076232
AES,2015-03-23,12.88,12.97,12.77,12.83,3821333
AES,2015-03-24,12.69,12.98,12.61,12.82,4734229
AES,2015-03-25,12.5,12.7,12.37,12.7,5064409
AES,2015-03-26,12.46,12.56,12.331,12.47,3967483
AES,2015-03-27,12.48,12.63,12.39,12.48,3532781
AES,2015-03-30,12.74,12.8,12.48,12.51,3694103
AES,2015-03-31,12.85,12.87,12.68,12.74,4051317
AES,2015-04-01,12.83,12.95,12.64,12.86,5371222
AES,2015-04-02,12.84,12.9,12.71,12.8,3860683
AES,2015-04-03,12.84,12.84,12.84,12.84,0
AES,2015-04-06,13.33,13.38,12.85,12.86,7424649
AES,2015-04-07,13.14,13.31,13.14,13.31,3424934
AES,2015-04-08,13.12,13.28,13.04,13.22,5015792
AES,2015-04-09,13.05,13.11,12.93,13.08,2901473
AES,2015-04-10,13.2,13.21,12.99,13.07,2411733
AES,2015-04-13,12.97,13.18,12.97,13.17,3576537
AES,2015-04-14,13.27,13.27,12.99,13.02,3806114
AES,2015-04-15,13.35,13.41,13.28,13.31,4993394
AES,2015-04-16,13.28,13.42,13.195,13.3,3877924
AES,2015-04-17,13.16,13.335,13.13,13.17,2823237
AES,2015-04-20,13.24,13.4,13.17,13.18,2949482
AES,2015-04-21,13.33,13.385,13.0,13.25,10480790
AES,2015-04-22,13.56,13.59,13.175,13.42,8470891
AES,2015-04-23,13.31,13.62,13.3,13.51,4944951
AES,2015-04-24,13.46,13.67,13.27,13.33,4989358
AES,2015-04-27,13.25,13.61,13.23,13.54,4778045
AES,2015-04-28,13.39,13.39,13.13,13.24,3413912
AES,2015-04-29,13.45,13.47,13.12,13.27,7989538
AES,2015-04-30,13.25,13.43,13.15,13.42,6241542
AES,2015-05-01,13.27,13.3,13.05,13.24,3362833
AES,2015-05-04,13.64,13.72,13.31,13.42,5056994
AES,2015-05-05,13.48,13.6,13.44,13.6,7865887
AES,2015-05-06,13.45,13.52,13.3,13.49,6778029
AES,2015-05-07,13.54,13.65,13.375,13.49,4460939
AES,2015-05-08,13.66,13.83,13.57,13.72,6244606
AES,2015-05-11,13.68,13.835,13.2,13.29,6797677
AES,2015-05-12,13.71,13.72,13.36,13.57,8162303
AES,2015-05-13,13.36,13.5,13.3,13.48,46067618
AES,2015-05-14,13.54,13.59,13.34,13.5,9334159
AES,2015-05-15,13.7,13.75,13.49,13.56,4707622
AES,2015-05-18,13.74,13.76,13.58,13.66,3979630
AES,2015-05-19,13.62,13.68,13.31,13.68,7772460
AES,2015-05-20,13.63,13.79,13.6,13.66,7150841
AES,2015-05-21,13.78,13.79,13.57,13.62,4188237
