Symbol,Date,Close,High,Low,Open,Volume
AET,2015-01-01,88.83,88.83,88.83,88.83,0
AET,2015-01-02,88.8,90.1462,87.87,89.71,1407051
AET,2015-01-05,87.6,88.83,87.251,88.14,2343065
AET,2015-01-06,87.73,88.73,87.48,88.01,2980265
AET,2015-01-07,89.49,89.55,88.26,88.42,2148481
AET,2015-01-08,92.39,92.53,90.29,90.29,2881606
AET,2015-01-09,91.04,92.4799,91.0,92.03,1920761
AET,2015-01-12,89.52,91.61,89.17,91.4,3649151
AET,2015-01-13,90.33,92.025,89.58,90.48,3306412
AET,2015-01-14,89.89,90.9,88.7,89.5,2807287
AET,2015-01-15,90.5,91.11,90.0,90.61,2418034
AET,2015-01-16,92.56,92.64,90.28,90.47,2982241
AET,2015-01-19,92.56,92.56,92.56,92.56,0
AET,2015-01-20,91.98,92.9,91.19,92.65,2339384
AET,2015-01-21,94.74,95.08,91.98,92.79,2762383
AET,2015-01-22,96.11,96.15,94.03,95.52,2257773
AET,2015-01-23,94.48,96.25,94.44,95.94,2001173
AET,2015-01-26,94.24,94.5799,93.32,94.25,1822065
AET,2015-01-27,93.7,94.3,93.16,93.61,1521414
AET,2015-01-28,92.69,94.71,92.561,94.48,2094887
AET,2015-01-29,93.61,93.78,91.95,92.95,1347668
AET,2015-01-30,91.82,93.6,91.64,92.97,2048635
AET,2015-02-02,92.22,92.91,90.2,92.01,2817625
AET,2015-02-03,94.18,94.27,91.83,93.01,2562104
AET,2015-02-04,96.05,96.9,93.0,93.76,3873347
AET,2015-02-05,96.59,97.71,96.01,96.13,3461398
AET,2015-02-06,94.54,96.79,94.16,96.34,3557628
AET,2015-02-09,93.74,94.6,93.38,94.18,1696007
AET,2015-02-10,95.75,95.95,94.04,94.15,1900646
AET,2015-02-11,96.46,96.75,95.3801,95.49,1840952
AET,2015-02-12,97.08,97.16,95.99,97.16,1513793
AET,2015-02-13,96.12,96.89,95.82,96.58,1504604
AET,2015-02-16,96.12,96.12,96.12,96.12,0
AET,2015-02-17,96.62,96.62,95.59,96.09,1515564
AET,2015-02-18,96.89,96.96,95.605,96.27,2334488
AET,2015-02-19,96.64,97.49,96.22,96.77,1215507
AET,2015-02-20,97.92,98.12,96.2,96.4,1705487
AET,2015-02-23,100.68,100.76,98.0,98.0,2587432
AET,2015-02-24,100.17,101.98,100.06,100.86,2207055
AET,2015-02-25,99.52,100.48,99.22,100.27,1435573
AET,2015-02-26,99.31,99.92,99.08,99.46,1171619
AET,2015-02-27,99.55,99.92,99.1,99.39,2486023
AET,2015-03-02,100.5,100.8,99.47,99.53,2529281
AET,2015-03-03,99.79,100.33,99.03,100.17,3398236
AET,2015-03-04,101.75,102.0,98.7801,99.44,4275350
AET,2015-03-05,102.09,102.63,101.37,101.73,2967341
AET,2015-03-06,100.67,101.9,100.29,101.77,2293947
AET,2015-03-09,101.53,101.74,100.6,100.62,1330244
AET,2015-03-10,100.16,100.76,99.55,100.4,2334523
AET,2015-03-11,100.04,100.94,99.85,100.29,1627462
AET,2015-03-12,102.12,102.35,100.57,100.8,2286192
AET,2015-03-13,104.09,104.2,101.32,102.0,2992578
AET,2015-03-16,106.07,106.75,104.5,104.74,2827825
AET,2015-03-17,105.4,105.5,104.36,105.22,2401492
AET,2015-03-18,107.48,107.865,105.13,105.33,2782709
AET,2015-03-19,108.31,108.97,107.25,108.0,2448985
AET,2015-03-20,108.63,109.12,107.94,108.7,2457232
