Symbol,Date,Close,High,Low,Open,Volume
ALGN,2015-01-01,55.91,55.91,55.91,55.91,0
ALGN,2015-01-02,56.2,58.38,55.78,57.24,797073
ALGN,2015-01-05,56.99,57.52,55.6421,55.88,593605
ALGN,2015-01-06,57.45,57.935,56.79,57.302,825658
ALGN,2015-01-07,59.57,59.75,57.45,57.94,1053500
ALGN,2015-01-08,61.44,61.67,59.74,60.0399,1289401
ALGN,2015-01-09,62.58,62.82,61.5,61.5,1549352
ALGN,2015-01-12,63.17,63.3,62.67,62.76,1098074
ALGN,2015-01-13,62.65,64.75,62.0,63.71,1155553
ALGN,2015-01-14,61.06,62.51,60.63,61.07,853360
ALGN,2015-01-15,59.63,61.94,59.5,61.87,599544
ALGN,2015-01-16,56.92,59.2,56.01,59.19,1869833
ALGN,2015-01-19,56.92,56.92,56.92,56.92,0
ALGN,2015-01-20,56.24,57.22,55.45,57.2,1221533
ALGN,2015-01-21,55.9,57.05,55.665,56.25,868143
ALGN,2015-01-22,58.01,58.11,55.96,56.41,881777
ALGN,2015-01-23,57.46,58.16,57.0101,58.03,790439
ALGN,2015-01-26,58.2,58.34,56.66,57.52,726076
ALGN,2015-01-27,58.75,58.88,57.08,57.76,662546
ALGN,2015-01-28,58.57,60.17,58.46,59.42,1218670
ALGN,2015-01-29,58.67,58.78,56.64,58.0,1473080
ALGN,2015-01-30,53.05,55.15,51.77,52.79,5115511
ALGN,2015-02-02,55.18,55.3,52.02,52.96,1932386
ALGN,2015-02-03,54.68,55.98,54.05,55.49,1220826
ALGN,2015-02-04,54.3,55.307,53.99,54.89,808639
ALGN,2015-02-05,55.0,55.3,54.25,54.44,717062
ALGN,2015-02-06,54.63,55.49,54.34,55.0,493502
ALGN,2015-02-09,55.02,55.08,54.007,54.18,742765
ALGN,2015-02-10,55.74,55.8,54.29,55.07,794671
ALGN,2015-02-11,55.8,56.15,55.26,55.885,630571
ALGN,2015-02-12,57.24,57.36,55.82,55.885,814241
ALGN,2015-02-13,56.9,57.32,56.72,56.87,704716
ALGN,2015-02-16,56.9,56.9,56.9,56.9,0
ALGN,2015-02-17,57.63,58.16,56.4,57.11,776046
ALGN,2015-02-18,56.54,57.665,55.85,57.665,1021890
ALGN,2015-02-19,56.81,57.095,56.09,56.62,657628
ALGN,2015-02-20,56.81,57.25,56.4,56.755,569113
ALGN,2015-02-23,56.535,56.77,56.08,56.5,649967
ALGN,2015-02-24,56.56,56.82,56.18,56.59,560995
ALGN,2015-02-25,56.16,57.14,55.99,56.56,493761
ALGN,2015-02-26,56.43,56.64,55.63,55.63,877168
ALGN,2015-02-27,57.35,57.53,55.8555,55.8555,592072
ALGN,2015-03-02,57.76,58.1495,57.16,57.96,430144
ALGN,2015-03-03,56.97,57.87,56.78,57.35,442532
ALGN,2015-03-04,57.15,57.32,56.6,56.6101,456673
