Symbol,Date,Close,High,Low,Open,Volume
AME,2015-01-01,52.63,52.63,52.63,52.63,0
AME,2015-01-02,52.62,52.87,51.93,52.76,651703
AME,2015-01-05,51.04,52.1597,50.86,52.02,867428
AME,2015-01-06,50.06,51.12,49.66,51.04,1419267
AME,2015-01-07,50.21,50.62,50.04,50.49,1207080
AME,2015-01-08,51.45,51.46,50.54,50.64,1590272
AME,2015-01-09,50.99,51.72,50.96,51.6,1090195
AME,2015-01-12,49.72,50.93,49.6,50.91,1501264
AME,2015-01-13,49.72,50.44,49.1,49.99,1149334
AME,2015-01-14,49.1,49.43,48.5,48.99,1028691
AME,2015-01-15,48.33,49.472,48.29,49.37,1153025
AME,2015-01-16,48.56,48.6,47.86,48.13,2000940
AME,2015-01-19,48.56,48.56,48.56,48.56,0
AME,2015-01-20,48.46,48.97,48.08,48.81,1355673
AME,2015-01-21,49.15,49.25,48.27,48.3,953434
AME,2015-01-22,49.29,49.58,48.64,49.23,1048849
AME,2015-01-23,48.83,49.32,48.61,49.12,1027732
AME,2015-01-26,49.58,49.62,48.51,48.9,1282683
AME,2015-01-27,49.0,49.35,48.505,49.02,1421781
AME,2015-01-28,48.75,50.2,48.64,49.47,2427121
AME,2015-01-29,49.14,49.31,48.06,48.72,1538542
AME,2015-01-30,47.9,49.14,47.85,48.69,1687657
AME,2015-02-02,49.52,49.58,47.96,48.18,1589160
AME,2015-02-03,50.45,50.78,49.84,49.84,1527013
AME,2015-02-04,49.51,50.318,49.37,50.2,992692
AME,2015-02-05,49.69,50.18,49.61,49.65,1169631
AME,2015-02-06,49.61,50.14,49.43,49.73,1084138
AME,2015-02-09,49.85,50.02,49.39,49.39,866199
AME,2015-02-10,50.03,50.17,49.39,50.11,782177
AME,2015-02-11,49.9,50.16,49.69,50.0,1015315
AME,2015-02-12,50.61,50.74,50.0,50.14,974022
AME,2015-02-13,51.41,51.46,50.9,51.09,1144604
AME,2015-02-16,51.41,51.41,51.41,51.41,0
AME,2015-02-17,51.5,51.6,51.08,51.31,1149154
AME,2015-02-18,51.38,51.65,51.25,51.37,554411
AME,2015-02-19,51.26,51.68,51.18,51.18,717335
AME,2015-02-20,51.62,51.63,50.67,51.18,940599
AME,2015-02-23,52.41,52.42,51.5,51.59,1304836
AME,2015-02-24,52.6,52.72,52.22,52.3,988779
AME,2015-02-25,52.95,52.98,52.62,52.67,1289742
AME,2015-02-26,53.27,53.305,52.68,52.88,1801870
AME,2015-02-27,53.14,53.49,53.07,53.24,1990176
AME,2015-03-02,53.75,53.81,52.91,53.14,1098459
AME,2015-03-03,53.54,53.74,53.34,53.43,1182911
AME,2015-03-04,52.86,53.29,52.73,53.28,761078
AME,2015-03-05,52.92,53.11,52.59,52.99,1278981
AME,2015-03-06,52.02,52.71,51.89,52.44,723738
AME,2015-03-09,52.21,52.33,51.88,52.07,789045
AME,2015-03-10,51.44,51.7,51.23,51.55,1124602
AME,2015-03-11,51.46,51.57,51.16,51.44,740597
AME,2015-03-12,52.16,52.18,51.61,51.64,590655
AME,2015-03-13,51.91,51.99,51.5,51.91,978781
AME,2015-03-16,52.95,53.0,51.95,52.0,1311742
AME,2015-03-17,52.8,52.84,52.21,52.61,838354
AME,2015-03-18,53.72,53.94,52.33,52.67,1019331
AME,2015-03-19,53.1,53.42,52.73,53.34,773239
AME,2015-03-20,53.8,53.85,53.21,53.25,1855746
AME,2015-03-23,53.66,54.0,53.37,54.0,878346
AME,2015-03-24,53.21,53.794,53.21,53.57,680883
AME,2015-03-25,52.0,53.46,51.98,53.37,1569076
AME,2015-03-26,51.85,52.0,51.55,51.75,1938692
AME,2015-03-27,51.81,51.955,51.49,51.73,1332062
AME,2015-03-30,52.97,53.04,52.01,52.25,1337159
AME,2015-03-31,52.54,52.79,52.41,52.72,1136795
AME,2015-04-01,52.28,52.545,52.04,52.19,1607967
AME,2015-04-02,52.4,52.83,52.17,52.43,648744
AME,2015-04-03,52.4,52.4,52.4,52.4,0
AME,2015-04-06,52.92,53.12,52.07,52.21,1008046
AME,2015-04-07,53.04,53.2,52.82,52.91,1034821
AME,2015-04-08,53.2,53.22,52.74,53.02,844473
AME,2015-04-09,53.4,53.52,52.97,53.11,640342
AME,2015-04-10,53.52,53.61,53.21,53.61,1043806
AME,2015-04-13,52.89,53.63,52.82,53.43,645467
AME,2015-04-14,52.99,53.135,52.645,52.81,957054
AME,2015-04-15,53.31,53.5,53.07,53.18,1300550
AME,2015-04-16,52.81,53.07,52.56,53.05,850884
AME,2015-04-17,51.71,52.43,51.55,52.43,940713
AME,2015-04-20,52.06,52.4,51.96,51.97,804918
AME,2015-04-21,52.07,52.335,51.65,52.21,935982
AME,2015-04-22,52.35,52.43,51.58,52.09,830058
AME,2015-04-23,52.69,52.77,52.16,52.25,708611
AME,2015-04-24,52.33,52.72,51.95,52.71,473654
AME,2015-04-27,52.25,52.66,52.16,52.44,930250
AME,2015-04-28,52.31,52.32,51.95,52.1,1119834
AME,2015-04-29,52.4,52.68,51.23,51.83,1867209
AME,2015-04-30,52.42,52.67,52.13,52.19,2227830
AME,2015-05-01,52.73,52.84,52.3,52.6,1080649
AME,2015-05-04,53.28,53.57,52.81,52.81,1346117
AME,2015-05-05,52.88,53.7,52.75,53.05,1564728
AME,2015-05-06,52.27,53.13,51.97,53.03,1255788
AME,2015-05-07,52.29,52.6,52.0,52.17,775046
AME,2015-05-08,52.91,53.05,52.62,52.89,762822
AME,2015-05-11,52.87,53.03,52.67,52.84,709376
AME,2015-05-12,53.29,53.47,52.57,52.71,1227819
AME,2015-05-13,54.34,54.81,53.6,53.61,1997693
AME,2015-05-14,55.22,55.35,54.43,54.67,1064180
AME,2015-05-15,55.38,55.46,54.96,55.37,1409531
AME,2015-05-18,55.38,55.56,55.06,55.1,1469756
AME,2015-05-19,54.96,55.48,54.72,55.35,670335
AME,2015-05-20,54.94,55.05,54.68,54.95,744132
AME,2015-05-21,54.95,55.21,54.8,54.92,640881
AME,2015-05-22,54.75,55.06,54.65,54.9,705443
AME,2015-05-25,54.75,54.75,54.75,54.75,0
AME,2015-05-26,53.9,54.5,53.71,54.5,738029
AME,2015-05-27,54.37,54.46,53.83,53.83,750832
AME,2015-05-28,54.17,54.34,53.91,54.26,617872
AME,2015-05-29,53.76,54.21,53.38,54.12,1621541
AME,2015-06-01,53.7,53.99,53.35,53.99,683102
AME,2015-06-02,54.04,54.34,53.22,53.49,745668
AME,2015-06-03,54.12,54.36,53.89,54.03,738066
AME,2015-06-04,53.3,53.81,52.99,53.79,1164334
AME,2015-06-05,53.88,53.94,53.23,53.37,1077805
AME,2015-06-08,53.99,54.13,53.649,53.81,1247888
AME,2015-06-09,53.74,54.21,53.73,54.01,572048
AME,2015-06-10,54.52,54.61,53.82,54.0,532032
AME,2015-06-11,54.82,54.98,54.37,54.59,1097338
AME,2015-06-12,54.76,55.29,54.42,54.59,1075093
AME,2015-06-15,54.08,54.22,53.88,54.16,757813
AME,2015-06-16,54.3,54.35,53.71,53.99,627789
AME,2015-06-17,54.41,54.6,53.99,54.4,618323
AME,2015-06-18,55.1,55.28,54.48,54.66,906165
AME,2015-06-19,54.57,55.04,54.55,54.98,1064915
AME,2015-06-22,54.75,55.015,54.58,54.96,643841
AME,2015-06-23,54.69,54.9,54.43,54.9,684486
AME,2015-06-24,54.07,54.62,53.93,54.55,863977
AME,2015-06-25,53.8,54.15,53.66,54.08,878345
AME,2015-06-26,55.11,55.14,53.8,54.02,2133350
AME,2015-06-29,54.04,54.7,54.0,54.26,1843475
AME,2015-06-30,54.78,54.96,54.28,54.77,1605321
AME,2015-07-01,55.5,55.6,54.87,55.13,2020090
AME,2015-07-02,55.55,56.0,55.2,55.84,1562187
AME,2015-07-03,55.55,55.55,55.55,55.55,0
AME,2015-07-06,54.47,55.21,54.27,54.99,1179734
AME,2015-07-07,54.83,55.0,53.98,54.47,1893476
AME,2015-07-08,53.78,54.62,53.45,54.44,1449978
AME,2015-07-09,54.31,55.08,54.13,54.65,1539416
AME,2015-07-10,55.1,55.22,54.72,55.06,1264177
AME,2015-07-13,55.93,56.05,55.24,55.68,1577346
AME,2015-07-14,55.78,55.92,55.53,55.88,883900
AME,2015-07-15,55.04,55.82,54.97,55.68,885612
AME,2015-07-16,55.29,55.63,54.98,55.37,650689
AME,2015-07-17,54.86,55.3,54.72,55.25,549400
AME,2015-07-20,55.1,55.26,54.725,54.84,532270
AME,2015-07-21,54.69,55.19,54.62,55.03,980959
AME,2015-07-22,55.01,55.14,54.5,54.67,1149585
AME,2015-07-23,55.15,55.8,55.1,55.13,1266630
AME,2015-07-24,53.95,55.19,53.81,55.04,1189774
AME,2015-07-27,52.01,53.4,51.94,53.31,2404779
AME,2015-07-28,52.45,52.65,51.85,52.25,2095554
AME,2015-07-29,53.34,53.47,52.36,52.7,1941941
AME,2015-07-30,53.36,53.45,53.0,53.19,1220164
AME,2015-07-31,53.05,53.53,52.94,53.53,1638254
AME,2015-08-03,53.29,53.34,52.66,53.17,1757934
AME,2015-08-04,53.71,54.72,52.9401,53.11,2143744
