Symbol,Date,Close,High,Low,Open,Volume
AMG,2015-01-01,212.24,212.24,212.24,212.24,0
AMG,2015-01-02,210.43,213.76,207.74,213.76,333258
AMG,2015-01-05,202.8,208.1,201.75,208.1,511598
AMG,2015-01-06,198.43,204.15,196.76,202.73,808345
AMG,2015-01-07,203.3,205.41,200.91,201.14,436116
AMG,2015-01-08,205.37,206.88,204.3,205.45,454343
AMG,2015-01-09,205.34,206.24,201.95,205.24,472396
AMG,2015-01-12,201.59,205.3,200.365,205.3,284468
AMG,2015-01-13,201.17,206.94,199.24,203.95,364027
AMG,2015-01-14,198.04,200.1,194.19,199.12,440462
AMG,2015-01-15,194.37,198.39,194.04,198.15,359531
AMG,2015-01-16,195.39,195.49,191.36,193.36,425334
AMG,2015-01-19,195.39,195.39,195.39,195.39,0
AMG,2015-01-20,197.79,198.9,195.145,197.32,463432
AMG,2015-01-21,202.43,202.81,196.46,196.64,570324
AMG,2015-01-22,210.59,211.08,202.05,203.83,638297
AMG,2015-01-23,206.54,211.19,206.33,210.49,337088
AMG,2015-01-26,210.25,210.699,205.375,205.6,324394
AMG,2015-01-27,204.85,207.92,200.97,205.0,826552
AMG,2015-01-28,205.61,211.44,205.38,207.44,659868
AMG,2015-01-29,205.11,207.77,204.45,206.22,474762
AMG,2015-01-30,205.52,208.9475,202.41,202.41,551871
AMG,2015-02-02,207.22,207.28,203.5,205.02,334304
AMG,2015-02-03,210.96,211.51,206.75,209.87,634715
AMG,2015-02-04,209.52,211.59,208.75,210.0,387550
AMG,2015-02-05,212.94,214.18,209.75,210.73,329343
AMG,2015-02-06,214.45,215.82,212.64,214.35,426249
AMG,2015-02-09,214.75,215.035,211.47,213.55,347844
AMG,2015-02-10,213.25,217.88,212.93,217.0,691636
AMG,2015-02-11,212.98,214.25,211.75,213.5,475007
AMG,2015-02-12,214.56,214.84,213.47,214.17,349979
AMG,2015-02-13,215.77,216.38,213.82,214.33,379023
AMG,2015-02-16,215.77,215.77,215.77,215.77,0
AMG,2015-02-17,217.33,217.725,215.28,215.28,319279
AMG,2015-02-18,216.63,219.219,216.16,216.5,451100
AMG,2015-02-19,217.57,218.2299,215.535,215.91,312794
AMG,2015-02-20,218.31,219.03,215.62,216.7,414319
AMG,2015-02-23,215.85,218.47,214.89,218.47,402565
AMG,2015-02-24,218.12,219.84,216.54,216.54,416982
AMG,2015-02-25,218.43,219.34,217.28,217.28,282686
AMG,2015-02-26,219.05,219.57,217.93,217.93,276750
AMG,2015-02-27,216.42,220.19,216.31,219.3,221627
AMG,2015-03-02,217.99,218.95,216.38,216.81,495474
AMG,2015-03-03,217.04,218.79,215.6,216.97,228088
