Symbol,Date,Close,High,Low,Open,Volume
AMZN,2015-01-01,310.35,310.35,310.35,310.35,0
AMZN,2015-01-02,308.52,314.75,306.9601,312.5,2788101
AMZN,2015-01-05,302.19,308.38,300.85,307.02,2774231
AMZN,2015-01-06,295.29,303.0,292.38,302.2,3519034
AMZN,2015-01-07,298.42,301.28,295.33,297.54,2640349
AMZN,2015-01-08,300.46,303.14,296.11,300.59,3088398
AMZN,2015-01-09,296.93,302.87,296.68,301.5,2592360
AMZN,2015-01-12,291.41,298.51,289.281,297.96,3421392
AMZN,2015-01-13,294.74,301.4976,293.23,297.48,4136441
AMZN,2015-01-14,293.27,295.91,286.503,291.93,5538666
AMZN,2015-01-15,286.95,295.9995,286.815,294.0,4419196
AMZN,2015-01-16,290.74,290.79,285.25,286.15,3478176
AMZN,2015-01-19,290.74,290.74,290.74,290.74,0
AMZN,2015-01-20,289.44,293.3599,286.39,292.59,3075081
AMZN,2015-01-21,297.25,306.0,287.26,289.64,10065076
AMZN,2015-01-22,310.32,312.25,300.0,300.0,5362640
AMZN,2015-01-23,312.39,316.93,307.72,308.08,4496419
AMZN,2015-01-26,309.66,313.0,307.5201,312.0,3169665
AMZN,2015-01-27,306.75,310.243,302.625,306.3,2920315
AMZN,2015-01-28,303.91,311.51,303.8,309.5,3063774
AMZN,2015-01-29,311.78,312.8,299.33,304.73,8656567
AMZN,2015-01-30,354.53,359.5,340.74,346.32,23856060
AMZN,2015-02-02,364.47,365.0,350.01,350.05,10231914
AMZN,2015-02-03,363.55,367.817,360.21,360.29,6212565
AMZN,2015-02-04,364.75,367.5,358.23,358.38,4169927
AMZN,2015-02-05,373.89,378.8,365.9,366.0,7247605
AMZN,2015-02-06,374.28,375.9899,371.01,374.87,3892382
AMZN,2015-02-09,370.56,374.41,367.2,371.0,2724630
AMZN,2015-02-10,372.995,374.3,368.51,371.19,2287232
AMZN,2015-02-11,375.14,377.1,371.1,371.23,2786523
AMZN,2015-02-12,377.17,378.51,373.15,375.0,2791050
AMZN,2015-02-13,381.83,383.0,377.01,378.31,3475069
AMZN,2015-02-16,381.83,381.83,381.83,381.83,0
AMZN,2015-02-17,375.43,379.985,372.67,378.83,3673208
AMZN,2015-02-18,373.37,376.74,372.85,373.78,2650610
AMZN,2015-02-19,378.995,381.88,373.43,373.43,2953752
AMZN,2015-02-20,383.66,383.7,375.84,378.61,3258023
AMZN,2015-02-23,380.14,384.54,378.0,383.37,2176989
AMZN,2015-02-24,378.59,380.48,376.16,378.64,1921850
AMZN,2015-02-25,385.37,387.85,376.54,377.0,3174495
AMZN,2015-02-26,384.8,389.37,383.28,384.07,2687107
AMZN,2015-02-27,380.16,385.99,379.79,384.0,2532309
AMZN,2015-03-02,385.655,385.9,379.481,380.85,2139205
AMZN,2015-03-03,384.61,386.1,381.601,383.95,1946498
AMZN,2015-03-04,382.72,387.9,382.19,385.71,2259141
AMZN,2015-03-05,387.83,388.4182,383.89,385.5,2693518
AMZN,2015-03-06,380.09,387.0,378.88,385.68,2627042
AMZN,2015-03-09,378.56,379.33,375.28,378.4,2311390
AMZN,2015-03-10,369.51,377.77,369.18,377.19,3120972
AMZN,2015-03-11,366.37,373.35,366.26,370.5,2495097
AMZN,2015-03-12,374.24,375.5,367.52,368.82,2810001
AMZN,2015-03-13,370.58,373.99,366.68,371.67,2611658
AMZN,2015-03-16,373.35,373.94,366.72,370.5,2354059
AMZN,2015-03-17,371.92,374.5,369.64,371.11,2036960
AMZN,2015-03-18,375.135,375.99,366.7,369.97,2654135
AMZN,2015-03-19,373.24,377.11,372.19,374.16,1915671
AMZN,2015-03-20,378.49,379.37,375.92,376.1,3763553
AMZN,2015-03-23,375.11,381.77,374.94,378.07,2239343
AMZN,2015-03-24,374.09,375.24,372.27,374.01,2228214
AMZN,2015-03-25,370.96,380.5,370.285,375.55,3429497
AMZN,2015-03-26,367.35,371.4,365.65,369.0,2929962
AMZN,2015-03-27,370.56,373.17,366.5734,367.0,2609774
AMZN,2015-03-30,374.59,376.12,371.55,367.0,1820933
AMZN,2015-03-31,372.1,377.7,371.51,373.09,2506122
AMZN,2015-04-01,370.255,373.16,368.34,372.1,2458095
AMZN,2015-04-02,372.25,373.28,369.0,370.04,1875279
AMZN,2015-04-03,372.25,372.25,372.25,372.25,0
AMZN,2015-04-06,377.04,380.2,369.36,370.12,3050709
AMZN,2015-04-07,374.41,379.31,374.03,376.07,1954902
AMZN,2015-04-08,381.2,381.58,374.65,374.66,2636434
AMZN,2015-04-09,383.54,384.42,378.795,380.74,2392328
AMZN,2015-04-10,382.65,387.12,381.3151,384.26,2573519
AMZN,2015-04-13,382.36,385.28,380.14,383.53,1894453
AMZN,2015-04-14,385.11,387.81,381.2101,383.48,2583575
AMZN,2015-04-15,383.45,385.78,381.64,384.95,1933229
AMZN,2015-04-16,386.04,387.45,383.55,383.69,2080417
AMZN,2015-04-17,375.56,383.56,374.4,382.51,3839664
AMZN,2015-04-20,389.51,391.94,377.0,378.55,5016148
AMZN,2015-04-21,391.18,394.6,386.8,391.0,4643524
AMZN,2015-04-22,389.8,394.28,388.0,391.98,3474724
AMZN,2015-04-23,389.99,391.88,386.15,390.21,7979985
AMZN,2015-04-24,445.1,452.65,439.0,439.0,17176904
AMZN,2015-04-27,438.56,446.99,437.41,443.9025,5430949
AMZN,2015-04-28,429.31,439.0,428.04,438.51,4140482
AMZN,2015-04-29,429.37,434.24,426.03,426.76,3621688
AMZN,2015-04-30,421.78,431.75,419.24,427.15,3647877
AMZN,2015-05-01,422.87,425.64,416.0,424.0,3565824
AMZN,2015-05-04,423.04,429.77,422.42,424.8,2270448
AMZN,2015-05-05,421.19,427.51,421.02,422.85,2856386
AMZN,2015-05-06,419.1,422.7165,414.55,421.92,2552474
AMZN,2015-05-07,426.88,428.5,422.85,423.96,2766132
AMZN,2015-05-08,433.69,435.2,430.174,430.75,2908838
AMZN,2015-05-11,432.85,439.0,431.37,432.51,2393737
AMZN,2015-05-12,431.02,433.25,426.71,431.01,1947822
AMZN,2015-05-13,426.87,433.528,425.8,429.58,1996328
AMZN,2015-05-14,432.28,433.0,427.01,429.26,1888477
AMZN,2015-05-15,426.0,430.3962,424.3,428.0,4240306
AMZN,2015-05-18,425.24,427.27,421.46,425.77,2390229
AMZN,2015-05-19,421.71,428.24,420.63,424.94,2465240
AMZN,2015-05-20,423.86,427.1,418.36,420.69,2196159
AMZN,2015-05-21,431.63,436.9,428.0,428.0,4121400
AMZN,2015-05-22,427.63,432.44,427.61,431.55,2020629
AMZN,2015-05-25,427.63,427.63,427.63,427.63,0
AMZN,2015-05-26,425.47,427.0,422.0,426.4,2244185
AMZN,2015-05-27,431.42,431.85,425.01,427.63,2231088
AMZN,2015-05-28,426.57,431.35,425.47,429.71,1912436
AMZN,2015-05-29,429.23,432.5,427.23,427.31,3016060
AMZN,2015-06-01,430.92,433.16,426.2,430.41,2253264
AMZN,2015-06-02,430.99,433.23,426.25,430.0,1669845
AMZN,2015-06-03,436.59,438.39,432.75,434.4,2727914
AMZN,2015-06-04,430.78,436.755,429.26,434.4,2510761
AMZN,2015-06-05,426.95,430.8,426.5,429.46,1907855
AMZN,2015-06-08,423.5,426.8,421.425,425.63,2172525
AMZN,2015-06-09,425.48,427.49,419.14,422.46,2288663
AMZN,2015-06-10,430.77,432.2,425.66,426.46,2172333
AMZN,2015-06-11,432.97,438.89,431.47,432.29,2922459
AMZN,2015-06-12,429.92,432.36,428.26,431.025,2054385
AMZN,2015-06-15,423.67,428.05,422.64,427.66,2050987
AMZN,2015-06-16,427.26,427.97,422.67,423.615,2297469
AMZN,2015-06-17,427.81,431.35,424.753,428.36,2185869
AMZN,2015-06-18,439.39,439.73,429.405,430.37,3378360
AMZN,2015-06-19,434.92,444.99,433.24,440.39,4495087
AMZN,2015-06-22,436.29,439.24,434.18,437.0,1823572
AMZN,2015-06-23,445.99,447.04,433.69,435.58,3245049
AMZN,2015-06-24,440.84,446.47,440.23,444.99,2620827
AMZN,2015-06-25,440.1,443.47,436.39,438.24,2237458
AMZN,2015-06-26,438.1,443.49,435.06,442.19,2624479
AMZN,2015-06-29,429.86,437.0,429.0,434.82,2753193
AMZN,2015-06-30,434.09,435.57,430.46,434.21,2596873
AMZN,2015-07-01,437.39,440.0,435.58,439.07,1987076
AMZN,2015-07-02,437.71,438.2,433.48,437.31,1343397
AMZN,2015-07-03,437.71,437.71,437.71,437.71,0
AMZN,2015-07-06,436.04,439.73,433.52,435.23,1903161
AMZN,2015-07-07,436.72,437.73,425.57,435.68,3454248
AMZN,2015-07-08,429.7,435.99,428.83,434.35,2383130
AMZN,2015-07-09,434.39,438.72,434.15,434.9,2271395
AMZN,2015-07-10,443.51,444.72,439.0,440.49,2400981
AMZN,2015-07-13,455.57,457.87,447.54,448.29,3956802
AMZN,2015-07-14,465.57,469.6,458.16,462.32,4736215
AMZN,2015-07-15,461.19,464.7,460.2,463.04,2987399
AMZN,2015-07-16,475.48,475.88,464.8,465.5,4095581
AMZN,2015-07-17,483.01,485.42,477.25,477.7,4932176
AMZN,2015-07-20,488.1,493.2,485.4,492.57,4752491
AMZN,2015-07-21,488.0,488.88,482.55,487.9,3181831
AMZN,2015-07-22,488.27,492.5,484.9,485.99,3114898
AMZN,2015-07-23,482.18,491.66,475.7,491.66,9374431
AMZN,2015-07-24,529.42,580.57,529.35,578.99,21909381
AMZN,2015-07-27,531.41,544.95,526.6,527.75,7490960
AMZN,2015-07-28,526.03,536.39,523.12,536.0,5273092
AMZN,2015-07-29,529.0,532.9655,525.02,530.92,3752634
AMZN,2015-07-30,536.76,539.2,524.29,527.65,3743065
AMZN,2015-07-31,536.15,542.84,534.5201,539.09,3025598
AMZN,2015-08-03,535.03,540.44,529.36,537.45,3014236
AMZN,2015-08-04,531.9,536.95,529.163,529.69,2934590
AMZN,2015-08-05,537.01,539.14,534.119,538.8,2889350
AMZN,2015-08-06,529.46,542.74,527.52,539.3,3820453
AMZN,2015-08-07,522.62,529.4599,518.21,529.16,3969215
AMZN,2015-08-10,524.0,532.2764,523.0,528.52,2615926
AMZN,2015-08-11,527.46,528.98,522.0,523.65,2676600
AMZN,2015-08-12,525.91,527.5,513.06,523.75,4014684
AMZN,2015-08-13,529.66,534.66,525.4846,527.37,2895238
AMZN,2015-08-14,531.52,534.11,528.25,528.25,1994799
AMZN,2015-08-17,535.22,538.74,527.12,531.29,2581680
AMZN,2015-08-18,535.02,539.49,533.0,535.04,2071342
AMZN,2015-08-19,532.92,537.25,529.0,533.74,2324040
AMZN,2015-08-20,515.78,533.25,515.77,530.39,4407990
AMZN,2015-08-21,494.47,512.33,494.47,507.36,6706466
AMZN,2015-08-24,463.37,489.76,451.0,463.58,10097601
AMZN,2015-08-25,466.37,489.44,466.25,487.49,5679329
AMZN,2015-08-26,500.77,503.72,478.76,484.02,6358639
AMZN,2015-08-27,518.37,522.69,507.261,513.71,6114506
AMZN,2015-08-28,518.01,521.5,513.04,517.5,2746708
AMZN,2015-08-31,512.89,519.41,509.07,516.44,3002293
AMZN,2015-09-01,496.54,510.0,493.43,499.14,3864514
AMZN,2015-09-02,510.55,510.86,497.72,505.09,3707116
AMZN,2015-09-03,504.72,515.84,502.57,514.5,3149694
AMZN,2015-09-04,499.0,502.85,495.64,497.65,2692510
AMZN,2015-09-07,499.0,499.0,499.0,499.0,0
AMZN,2015-09-08,517.54,518.35,508.5144,508.69,3810653
AMZN,2015-09-09,516.89,529.95,515.06,524.0,4370657
AMZN,2015-09-10,522.24,526.13,514.78,515.15,2575982
AMZN,2015-09-11,529.44,529.44,520.605,521.07,3227862
AMZN,2015-09-14,521.38,532.45,518.58,529.44,3130241
AMZN,2015-09-15,522.37,527.92,517.2,523.25,2865933
AMZN,2015-09-16,527.39,528.3,518.52,521.98,2252790
AMZN,2015-09-17,538.87,546.97,526.57,526.98,4169483
AMZN,2015-09-18,540.26,546.237,531.35,534.62,6160075
AMZN,2015-09-21,548.39,549.78,539.59,544.33,3283313
AMZN,2015-09-22,538.4,543.55,532.66,539.71,3841748
AMZN,2015-09-23,536.07,541.21,534.0,538.3,2237571
AMZN,2015-09-24,533.75,534.56,522.87,530.55,3500964
AMZN,2015-09-25,524.25,542.8,521.4,542.57,4030998
AMZN,2015-09-28,504.06,520.28,494.3337,520.02,5434532
AMZN,2015-09-29,496.07,511.48,490.5,506.0,4457532
AMZN,2015-09-30,511.89,512.8,501.6724,505.44,4004680
AMZN,2015-10-01,520.72,520.8,506.0,511.0,3768483
AMZN,2015-10-02,532.54,532.6,508.1,512.99,4597795
AMZN,2015-10-05,543.68,545.91,536.0,536.99,3391359
AMZN,2015-10-06,537.48,551.5,533.33,545.5,4547519
AMZN,2015-10-07,541.94,542.0,529.0,541.79,3812087
AMZN,2015-10-08,533.16,539.386,519.89,536.71,4676440
AMZN,2015-10-09,539.8,541.79,530.27,534.48,3537364
AMZN,2015-10-12,550.19,550.82,539.8,539.96,2776103
AMZN,2015-10-13,548.9,553.2,543.1,546.26,2938044
AMZN,2015-10-14,544.83,552.25,539.68,551.34,3582060
AMZN,2015-10-15,562.44,563.0,547.0,547.75,4937034
AMZN,2015-10-16,570.76,570.94,560.31,565.27,4315792
AMZN,2015-10-19,573.15,579.0,567.38,570.76,4375420
AMZN,2015-10-20,560.88,573.0,555.28,572.0,4346209
AMZN,2015-10-21,555.77,565.25,552.52,563.87,3361655
AMZN,2015-10-22,563.91,569.146,556.67,562.7,7779372
AMZN,2015-10-23,599.03,619.45,595.36,617.68,10692667
AMZN,2015-10-26,608.61,609.85,596.29,602.3,4269715
AMZN,2015-10-27,611.01,614.71,605.53,608.6,3787136
AMZN,2015-10-28,617.1,617.23,609.5,612.3,3926200
AMZN,2015-10-29,626.55,627.54,615.39,617.7,3896026
AMZN,2015-10-30,625.9,630.72,625.28,626.01,3874363
AMZN,2015-11-02,628.35,628.63,620.41,627.13,2816479
AMZN,2015-11-03,625.31,629.89,622.0,629.53,3246910
AMZN,2015-11-04,640.95,645.93,627.35,627.76,4840501
AMZN,2015-11-05,655.65,657.0,643.0901,647.1,4723825
AMZN,2015-11-06,659.37,662.26,652.0,655.0,4092164
AMZN,2015-11-09,655.49,661.955,647.8477,658.65,4048822
AMZN,2015-11-10,659.68,660.0,647.262,651.01,3489483
AMZN,2015-11-11,673.25,675.96,663.25,663.25,5387309
AMZN,2015-11-12,665.6,675.64,664.22,673.0,4284678
AMZN,2015-11-13,642.35,667.0,640.45,663.57,6261076
AMZN,2015-11-16,647.81,649.99,622.29,640.92,7435934
AMZN,2015-11-17,643.3,653.25,641.0,650.65,4320177
AMZN,2015-11-18,663.54,664.88,646.37,646.51,4469769
AMZN,2015-11-19,661.27,672.86,659.0,664.99,4705237
AMZN,2015-11-20,668.45,668.87,657.57,667.94,3896135
AMZN,2015-11-23,678.99,682.77,668.45,671.5,4385057
AMZN,2015-11-24,671.15,675.8,661.2125,674.14,4543417
AMZN,2015-11-25,675.34,679.7,671.24,675.0,2697889
AMZN,2015-11-26,675.34,675.34,675.34,675.34,0
AMZN,2015-11-27,673.26,680.99,672.1,680.8,1966801
AMZN,2015-11-30,664.8,681.29,664.6,675.9,5693172
AMZN,2015-12-01,679.06,681.0,667.86,673.75,4751152
AMZN,2015-12-02,676.01,684.82,674.25,681.0,4273526
AMZN,2015-12-03,666.25,682.79,661.48,679.44,5064736
AMZN,2015-12-04,672.64,674.775,661.4,666.0,4534796
AMZN,2015-12-07,669.83,675.46,660.5,674.74,3732814
