Symbol,Date,Close,High,Low,Open,Volume
APD,2015-01-01,133.3412,133.3412,133.3412,133.3412,0
APD,2015-01-02,134.4506,134.8297,132.0931,132.5646,1457400
APD,2015-01-05,130.1517,133.4614,129.1717,133.4614,1908290
APD,2015-01-06,130.1055,131.973,129.1625,130.8081,1285304
APD,2015-01-07,131.5107,131.8805,130.1055,131.1224,732394
APD,2015-01-08,134.5523,134.8851,132.1116,132.1116,1080056
APD,2015-01-09,132.5369,134.8667,132.389,134.8667,803942
APD,2015-01-12,131.6216,132.5184,130.8451,132.4352,573742
APD,2015-01-13,130.9283,133.3921,129.523,132.4537,747818
APD,2015-01-14,129.3659,129.634,127.2303,128.9591,1107523
APD,2015-01-15,128.9313,131.3258,128.5985,130.6694,996466
APD,2015-01-16,129.1625,129.8004,126.7218,128.9683,1583552
APD,2015-01-19,129.1625,129.1625,129.1625,129.1625,0
APD,2015-01-20,130.7064,131.0207,128.4876,130.3273,1048119
APD,2015-01-21,132.2965,132.8143,130.013,130.6602,808125
APD,2015-01-22,133.4244,133.5539,130.9375,132.9344,955578
APD,2015-01-23,132.6294,133.2025,131.4737,133.1286,917909
APD,2015-01-26,132.278,132.7126,130.9837,132.2596,1317834
APD,2015-01-27,131.1409,132.3612,129.8836,130.8728,1341747
APD,2015-01-28,128.3489,132.1116,127.9421,131.5107,2005547
APD,2015-01-29,135.8929,136.8728,132.2041,132.2041,3733053
APD,2015-01-30,134.617,137.7511,134.0531,134.654,2866714
APD,2015-02-02,136.5308,136.9745,131.1686,133.4707,1471199
APD,2015-02-03,137.2056,137.8898,135.4953,137.2796,1421208
APD,2015-02-04,137.2149,138.2134,136.1147,136.8821,1068876
APD,2015-02-05,140.0809,140.1271,137.7049,138.01,1306425
APD,2015-02-06,138.9715,140.3212,138.463,139.8497,809738
APD,2015-02-09,138.463,139.6879,138.0654,138.8605,935088
APD,2015-02-10,138.9437,139.4707,137.4275,138.6941,990374
APD,2015-02-11,138.6849,139.1748,137.5107,138.5739,817766
APD,2015-02-12,140.728,141.0516,138.7819,139.5816,1557822
APD,2015-02-13,141.2735,141.9853,140.3305,140.5801,787385
APD,2015-02-16,141.2735,141.2735,141.2735,141.2735,0
APD,2015-02-17,141.8744,142.5493,140.7095,141.0054,894871
APD,2015-02-18,142.2534,142.4014,141.0793,141.8744,774066
APD,2015-02-19,144.2966,145.2488,142.4199,142.8359,1038974
APD,2015-02-20,145.7573,145.822,142.9376,144.047,971796
APD,2015-02-23,144.3151,145.48,144.0747,144.9807,897993
APD,2015-02-24,145.1286,145.6464,144.1764,144.6294,801602
APD,2015-02-25,145.1934,145.7388,144.9715,145.1286,487581
APD,2015-02-26,144.8051,145.406,144.084,144.9068,556248
APD,2015-02-27,144.3521,145.027,144.1764,144.9437,701657
APD,2015-03-02,146.1918,146.2565,144.2226,144.4538,955082
APD,2015-03-03,144.2781,146.2565,144.0932,145.9237,742460
APD,2015-03-04,143.0578,144.8698,142.7712,144.1302,1214149
APD,2015-03-05,143.1687,143.3536,142.5539,143.1132,661147
APD,2015-03-06,141.0886,142.5678,140.8066,142.1425,1075015
APD,2015-03-09,142.2719,142.6048,141.4214,141.6987,639736
APD,2015-03-10,140.6171,141.218,139.859,140.9499,1045291
APD,2015-03-11,139.8775,141.255,139.8682,141.1255,864138
APD,2015-03-12,141.7172,141.8836,140.5246,140.6356,791231
APD,2015-03-13,140.5246,141.5739,139.7111,141.1625,733799
APD,2015-03-16,141.1071,141.8559,140.4784,141.3567,706933
APD,2015-03-17,141.1163,141.671,139.9514,140.8112,855419
APD,2015-03-18,143.0023,144.0285,138.9992,140.3027,1286317
APD,2015-03-19,140.7465,142.4014,140.1363,142.161,842704
APD,2015-03-20,141.181,142.0501,139.5539,140.4784,2018802
APD,2015-03-23,140.4229,141.634,140.4229,141.181,880946
APD,2015-03-24,140.691,141.2642,140.1918,140.5246,683911
APD,2015-03-25,139.2858,142.0223,139.258,140.8112,899752
APD,2015-03-26,139.748,140.4876,137.6679,138.6017,911999
APD,2015-03-27,141.218,141.6063,139.0084,139.8682,1148557
APD,2015-03-30,142.1887,142.883,141.4584,142.2997,1729498
APD,2015-03-31,139.859,142.4753,139.748,141.6618,1752908
APD,2015-04-01,138.7588,140.3582,138.0608,139.4984,1525490
APD,2015-04-02,139.6371,140.2658,138.3104,138.5184,637085
APD,2015-04-03,139.6371,139.6371,139.6371,139.6371,0
APD,2015-04-06,140.6078,141.0146,139.2488,139.6648,946588
APD,2015-04-07,139.7665,141.8559,139.7111,140.2565,716881
APD,2015-04-08,139.5724,140.7373,138.879,139.9977,693493
APD,2015-04-09,140.5708,140.7095,139.1564,139.5724,585699
APD,2015-04-10,140.4507,140.9961,139.5909,140.7465,551568
APD,2015-04-13,139.2118,140.9869,139.1748,140.1178,882253
APD,2015-04-14,140.3767,140.8944,139.1471,139.6186,1034220
APD,2015-04-15,140.8482,142.3089,140.4876,140.8574,876083
APD,2015-04-16,140.1456,140.5246,139.369,140.5246,672246
APD,2015-04-17,138.5369,139.9607,137.409,139.369,1063045
APD,2015-04-20,139.9422,140.1456,138.5462,139.1379,716095
