Symbol,Date,Close,High,Low,Open,Volume
MO,2015-01-01,49.27,49.27,49.27,49.27,0
MO,2015-01-02,48.97,49.64,48.58,49.3,6078056
MO,2015-01-05,48.69,48.99,48.52,48.64,6900488
MO,2015-01-06,48.98,49.65,48.89,49.0,7239994
MO,2015-01-07,49.88,50.03,49.32,49.33,5492538
MO,2015-01-08,50.72,50.93,50.2,50.26,4693280
MO,2015-01-09,50.6,51.11,50.48,50.98,6488223
MO,2015-01-12,50.92,51.2,50.7,50.79,6369566
MO,2015-01-13,51.32,51.78,50.91,51.16,7461034
MO,2015-01-14,51.73,51.75,50.75,51.0,6235247
MO,2015-01-15,52.47,52.85,51.822,51.96,8102786
MO,2015-01-16,53.05,53.115,52.32,52.35,10072210
MO,2015-01-19,53.05,53.05,53.05,53.05,0
MO,2015-01-20,53.83,54.48,53.2,53.96,6486320
MO,2015-01-21,54.27,54.34,53.54,53.76,5743735
MO,2015-01-22,54.66,54.69,54.08,54.65,7168973
MO,2015-01-23,54.19,54.71,54.18,54.68,6589198
MO,2015-01-26,54.44,54.46,53.85,54.21,6149617
MO,2015-01-27,54.56,54.77,54.0,54.03,5640535
MO,2015-01-28,54.01,55.18,53.93,54.75,6298234
MO,2015-01-29,54.39,54.55,53.6202,53.94,6468813
MO,2015-01-30,53.1,54.63,53.0,54.06,9952321
MO,2015-02-02,53.8,53.84,52.98,53.25,9183582
MO,2015-02-03,54.26,54.39,53.58,53.83,9729512
MO,2015-02-04,54.03,54.63,53.88,54.18,8191554
MO,2015-02-05,53.67,54.4,53.6,54.37,8452192
MO,2015-02-06,53.33,53.64,53.22,53.52,7806686
MO,2015-02-09,53.16,53.49,52.91,53.16,5816393
MO,2015-02-10,53.77,53.84,53.37,53.5,4500821
MO,2015-02-11,54.76,54.84,53.79,53.94,7890060
MO,2015-02-12,55.54,55.54,54.58,54.81,7248961
MO,2015-02-13,54.76,55.58,54.51,55.49,5962858
MO,2015-02-16,54.76,54.76,54.76,54.76,0
MO,2015-02-17,55.14,55.3099,54.11,54.45,7141341
MO,2015-02-18,55.24,55.24,54.781,54.9,4638820
MO,2015-02-19,55.48,55.69,55.0875,55.41,6332899
MO,2015-02-20,55.61,55.7,54.91,55.43,6882578
MO,2015-02-23,55.51,55.904,55.47,55.74,5265719
MO,2015-02-24,55.72,55.89,55.35,55.67,6443684
MO,2015-02-25,55.64,55.99,55.55,55.81,5125110
MO,2015-02-26,56.09,56.19,55.597,55.73,4479595
MO,2015-02-27,56.29,56.6,55.95,56.09,4957925
MO,2015-03-02,56.5,56.695,56.24,56.43,4931427
MO,2015-03-03,56.46,56.675,56.07,56.5,4429486
MO,2015-03-04,55.79,56.39,55.66,56.27,5460594
MO,2015-03-05,55.5,56.09,55.32,56.04,5551076
MO,2015-03-06,53.37,55.32,53.2,55.28,12205022
MO,2015-03-09,53.83,53.95,53.4,53.72,6262392
MO,2015-03-10,53.2,53.64,53.1,53.48,5563447
MO,2015-03-11,52.22,53.48,52.06,53.42,9012154
MO,2015-03-12,52.01,52.39,51.925,52.09,7941075
MO,2015-03-13,51.39,51.95,51.08,51.93,7955513
MO,2015-03-16,52.09,52.09,51.7,51.76,7625857
MO,2015-03-17,51.62,51.97,51.15,51.82,6048593
MO,2015-03-18,51.34,51.66,50.15,51.36,14050542
MO,2015-03-19,51.27,51.54,51.06,51.23,6697419
MO,2015-03-20,51.42,51.65,51.2,51.36,13742237
MO,2015-03-23,51.62,51.97,51.31,51.31,8649536
MO,2015-03-24,51.11,52.0,51.11,51.52,7223813
MO,2015-03-25,50.15,51.29,50.14,51.27,10189267
MO,2015-03-26,50.0,50.54,49.03,49.68,14549055
MO,2015-03-27,50.34,50.43,49.88,49.92,8566509
MO,2015-03-30,50.53,50.8,50.35,50.59,7215699
MO,2015-03-31,50.02,50.52,50.01,50.52,7905569
MO,2015-04-01,50.3,50.4,49.55,50.16,7768774
MO,2015-04-02,51.19,51.29,50.36,50.42,8999731
MO,2015-04-03,51.19,51.19,51.19,51.19,0
MO,2015-04-06,51.49,51.91,51.01,51.02,7575027
MO,2015-04-07,51.7,52.13,51.51,51.61,7369195
MO,2015-04-08,51.62,51.9799,51.32,51.55,5883549
MO,2015-04-09,51.86,51.93,51.475,51.65,4556425
MO,2015-04-10,52.51,52.99,52.01,52.15,6442044
MO,2015-04-13,51.77,52.47,51.7,52.35,6731082
MO,2015-04-14,52.12,52.25,51.53,51.68,4956502
MO,2015-04-15,51.61,52.56,51.54,52.11,5944497
MO,2015-04-16,52.05,52.4,51.61,51.98,7569737
MO,2015-04-17,51.75,52.08,51.65,51.93,7499259
MO,2015-04-20,52.63,52.84,52.0,52.0,8741387
MO,2015-04-21,52.1,52.99,52.02,52.77,6473871
MO,2015-04-22,52.12,52.13,51.5099,52.08,9811444
MO,2015-04-23,52.35,52.92,51.8,52.04,8189791
MO,2015-04-24,52.07,52.64,52.035,52.51,4910642
MO,2015-04-27,51.4,52.1499,51.3,52.14,6451808
MO,2015-04-28,51.71,51.71,51.16,51.25,6596627
MO,2015-04-29,50.2,51.56,50.06,51.39,11260918
MO,2015-04-30,50.05,50.3,49.83,50.15,10130859
MO,2015-05-01,50.66,50.67,50.11,50.12,5957845
MO,2015-05-04,50.68,50.9,50.45,50.9,4963139
MO,2015-05-05,50.35,50.58,50.15,50.5,4968724
MO,2015-05-06,50.68,50.78,50.13,50.43,7011102
MO,2015-05-07,51.24,51.36,50.4201,50.48,5127349
MO,2015-05-08,52.17,52.435,51.53,51.61,5545522
